rownames	cd14_sample1	cd14_sample2	cd4_sample1	cd4_sample2	cd14_sample3	cd14_sample4	cd14_sample5	cd14_sample6	cd4_sample3	cd4_sample4	cd4_sample5	cd4_sample6
CLCN4	0	1	0	0	194	261	173	41	0	0	12	0
CLCN5	673	357	167	58	242	748	814	718	59	14	59	27
CLCN6	955	1,023	188	834	1,841	1,802	1,378	1,406	599	573	508	653
CLCN7	2,374	4,322	616	1,321	7,128	6,445	6,802	7,580	1,779	1,601	1,738	2,985
CLCNKA	0	0	0	0	22	0	0	0	0	0	1	0
CLCNKB	0	0	0	0	0	0	3	0	0	0	0	0
CLDN1	31	2	35	7	0	0	3	0	0	0	7	7
CLDN10	0	0	39	0	24	43	0	0	0	0	0	0
CLDN10-AS1	0	1	1	0	0	0	0	0	0	0	0	0
CLDN11	66	4	47	9	1	3	9	1	3	2	2	12
CLDN12	54	0	0	133	42	44	1	39	14	125	225	11
CLDN14	6	0	0	0	0	1	25	0	0	0	0	3
CLDN15	79	2	53	81	92	67	15	79	195	181	208	276
CLDN16	17	11	30	3	5	6	6	3	0	1	2	1
CLDN17	0	0	1	0	0	0	0	0	1	0	0	0
CLDN18	100	1	68	87	0	0	0	1	11	0	10	5
CLDN19	54	1	0	0	1	5	18	2	0	0	0	5
CLDN2	28	0	0	0	0	7	24	0	27	0	0	2
CLDN20	0	0	0	5	0	2	0	0	3	1	12	4
CLDN22	2	11	37	58	46	19	3	30	9	9	36	7
CLDN23	175	0	8	28	196	114	297	189	0	23	0	0
CLDN24	0	0	5	0	0	0	0	7	0	0	0	0
CLDN25	0	0	0	0	0	0	0	0	0	0	0	0
CLDN3	0	0	16	0	7	0	0	0	0	0	0	7
CLDN34	0	0	0	0	0	0	0	0	0	0	0	0
CLDN4	2	0	0	0	0	0	4	0	2	0	6	0
CLDN5	0	0	145	0	214	184	533	152	165	437	33	52
CLDN6	0	14	0	0	0	0	3	0	0	0	0	0
CLDN7	35	42	6	0	41	121	36	43	27	32	77	11
CLDN8	0	0	0	0	1	0	0	0	0	0	0	0
CLDN9	0	63	0	0	15	0	16	6	0	0	2	0
CLDND1	1,267	1,978	2,201	1,927	2,839	2,904	3,107	2,784	4,326	4,254	6,818	3,484
CLDND2	0	0	0	0	3	3	9	8	7	1	2	4
CLEC10A	281	80	0	0	215	1,052	542	1,321	0	17	0	12
CLEC11A	16	28	1	0	558	220	232	232	59	37	56	47
CLEC12A	11,696	16,215	282	145	11,766	11,139	39,406	14,047	130	48	52	24
CLEC12B	404	527	0	7	159	540	1,043	441	9	0	0	10
CLEC14A	0	0	89	2	0	0	0	0	5	0	0	11
CLEC16A	1,106	892	1,416	1,135	1,332	1,659	1,315	1,871	1,853	2,217	1,953	1,744
CLEC17A	0	1	1	1	0	12	11	3	0	0	0	0
CLEC18A	4	3	1	36	1	10	0	19	15	21	12	28
CLEC18B	2	2	4	8	0	0	0	1	14	7	2	13
CLEC18C	0	0	0	0	0	0	0	0	0	0	0	0
CLEC19A	3	1	66	3	1	1	4	2	1	4	14	2
CLEC1A	54	2	0	0	174	282	455	179	0	0	0	0
CLEC1B	42	82	1	4	210	308	130	48	0	37	0	1
CLEC2A	7	2	12	0	0	0	0	3	0	0	0	2
CLEC2B	1,164	1,123	545	853	2,861	1,833	2,794	3,626	4,014	2,574	2,721	2,260
CLEC2D	715	1,185	8,771	11,103	764	853	1,302	1,615	16,603	17,052	22,059	18,923
CLEC2L	0	0	0	0	0	0	4	21	0	0	0	0
CLEC3A	0	96	0	0	0	0	23	0	0	0	0	8
CLEC3B	63	66	0	6	402	221	175	194	10	12	1	6
CLEC4A	2,569	2,516	172	81	5,260	7,192	8,834	7,658	114	80	80	65
CLEC4C	0	8	5	8	11	0	95	39	1	0	1	1
CLEC4D	1,219	1,826	37	0	7,156	3,163	3,275	2,452	8	17	30	5
CLEC4E	2,513	2,418	270	96	4,363	4,848	2,741	3,657	9	31	23	33
CLEC4F	53	0	81	31	0	0	169	537	0	0	0	0
CLEC4G	9	67	0	0	155	397	282	126	1	0	0	0
CLEC4GP1	0	2	4	1	0	1	3	0	0	0	2	3
CLEC4M	0	0	0	0	0	0	0	0	0	0	0	0
CLEC5A	424	49	1	0	2,197	3,129	1,483	1,266	32	42	0	0
CLEC6A	257	173	1	4	325	302	501	216	7	0	0	3
CLEC7A	4,930	4,970	68	26	13,380	12,058	13,319	8,583	123	69	53	48
CLEC9A	0	2	4	0	0	20	4	16	0	0	0	0
CLECL1	23	0	31	15	100	187	432	201	77	48	69	101
CLGN	3	1	9	3	0	37	0	65	3	0	0	0
CLHC1	142	31	151	194	114	80	152	271	220	142	48	370
CLIC1	11,406	11,623	1,915	2,341	107,073	47,960	38,288	39,064	7,368	6,704	7,351	7,887
CLIC2	9	37	44	14	65	177	288	212	74	0	21	27
CLIC3	0	0	49	245	18	167	18	283	52	96	135	175
CLIC4	1,947	3,082	112	8	2,528	3,356	2,224	5,413	37	1	37	89
CLIC5	94	87	164	323	3	0	3	32	178	134	652	487
CLIC6	18	0	12	0	0	3	0	0	14	0	2	3
CLINT1	3,325	4,023	2,360	2,521	5,078	7,424	5,963	7,707	5,478	6,020	6,046	4,316
CLIP1	3,138	5,848	1,687	2,337	8,275	7,102	5,342	6,581	4,981	4,223	4,136	5,422
CLIP1-AS1	15	0	32	0	7	0	0	0	5	0	0	0
CLIP2	139	272	1	1	307	195	348	428	25	30	108	5
CLIP3	0	0	70	10	8	9	6	0	16	8	69	47
CLIP4	2,418	908	1,632	2,089	1,344	3,959	3,231	3,028	3,438	2,865	3,175	2,902
CLK1	3,652	2,143	6,743	4,527	3,693	7,663	5,971	3,571	17,908	15,368	16,302	7,109
CLK2	727	857	880	402	1,204	1,105	1,271	1,238	1,521	1,359	1,163	1,763
CLK2P1	1	128	47	94	0	0	0	0	4	0	0	4
CLK3	1,545	1,710	1,132	1,145	3,762	4,094	3,846	3,488	3,580	3,156	4,036	4,216
CLK4	1,798	1,732	1,557	1,441	998	2,340	2,765	2,118	3,971	3,897	4,598	2,348
CLLU1	3	0	151	0	0	14	0	0	4	0	2	0
CLLU1OS	0	0	0	0	0	0	0	0	0	0	0	0
CLMN	3,018	5,591	136	22	4,073	3,688	6,273	4,625	71	9	22	64
CLMP	7	11	167	1	3	14	44	1	48	14	37	27
CLN3	1,245	757	1,074	1,031	7,173	4,242	3,180	3,184	2,625	2,542	2,821	3,356
CLN5	789	871	1,497	1,208	1,514	2,032	2,525	2,164	1,858	2,687	1,779	1,257
CLN6	110	52	101	65	398	302	466	516	177	175	75	184
CLN8	657	755	404	545	1,644	999	1,276	773	818	785	611	390
CLNK	6	2	10	0	15	0	0	28	24	0	1	39
CLNS1A	1,399	772	738	1,236	3,545	4,811	4,611	4,973	2,957	3,709	3,935	3,072
CLOCK	799	606	743	495	514	1,062	868	1,172	865	696	718	1,006
CLP1	522	760	494	510	2,439	1,710	1,335	1,665	972	930	929	513
CLPB	537	541	6	9	1,257	1,855	978	1,495	194	378	364	305
CLPP	499	12	438	1,093	3,002	1,843	929	1,246	2,532	2,746	2,299	2,614
CLPS	0	0	13	1	0	0	0	0	0	0	0	1
CLPSL1	0	0	0	0	0	0	0	0	0	0	0	0
CLPSL2	0	0	0	0	0	0	0	0	0	0	0	0
CLPTM1	654	669	464	395	3,018	2,194	1,612	2,386	1,466	1,228	1,244	1,509
CLPTM1L	943	1,194	739	717	1,444	1,234	3,973	804	1,618	485	1,640	1,930
CLPX	583	1,672	448	1,012	1,165	1,284	2,036	2,223	1,638	2,051	1,922	1,525
CLRN1	10	0	8	0	0	0	3	2	5	0	0	2
CLRN1-AS1	5	0	12	0	0	0	4	0	0	0	0	0
CLRN2	6	5	0	0	0	0	3	0	2	0	0	0
CLRN3	16	0	5	0	11	0	0	0	0	2	0	0
CLSPN	56	291	130	134	33	70	173	92	17	2	34	104
CLSTN1	498	134	720	1,259	1,035	1,110	1,653	983	1,985	1,360	2,640	3,115
CLSTN2	3	0	1	0	0	0	0	0	1	0	0	0
CLSTN2-AS1	23	0	75	0	0	0	0	0	0	0	0	0
CLSTN3	19	11	120	255	128	34	6	12	157	164	143	202
CLTA	1,941	1,832	410	980	10,390	8,488	6,687	6,704	1,844	2,200	2,417	1,702
CLTB	914	1,247	552	763	7,289	4,201	3,588	3,386	2,047	1,691	1,980	2,403
CLTC	9,083	12,744	4,378	6,461	13,684	18,990	13,292	15,853	8,637	9,886	8,990	6,265
CLTCL1	184	485	9	5	415	1,500	502	358	54	86	61	43
CLU	3,948	10,397	154	556	9,752	29,487	4,077	2,995	482	250	464	597
CLUAP1	131	423	1,059	1,446	69	301	407	106	1,662	1,998	1,459	1,642
CLUH	290	20	130	332	618	406	398	349	660	606	405	512
CLUHP3	10	0	288	139	0	1	15	85	450	668	1,089	2,413
CLUL1	18	1	0	7	5	0	5	0	2	34	0	6
CLVS1	3	0	16	0	0	0	19	0	0	0	3	0
CLVS2	152	0	19	3	5	2	0	0	19	0	11	13
CLYBL	8	61	158	127	118	45	157	96	645	477	340	587
CLYBL-AS1	0	13	4	0	0	0	0	0	1	1	4	1
CLYBL-AS2	10	0	12	3	0	0	0	0	0	2	0	1
CMA1	1	0	6	0	0	0	0	0	0	0	0	0
CMAHP	546	932	765	539	248	1,238	635	796	1,369	1,914	1,521	1,215
CMAS	1,161	1,141	1,108	604	5,169	3,247	2,741	3,210	2,597	2,297	2,516	2,195
CMBL	31	8	70	18	8	14	5	0	32	3	10	24
CMC1	444	460	208	257	687	1,208	1,098	824	377	442	629	477
CMC2	286	139	258	363	678	722	1,044	1,162	763	608	1,071	992
CMC4	77	122	200	147	602	427	756	488	617	664	750	757
CMIP	87	269	45	57	362	247	68	130	34	23	41	50
CMKLR1	127	1,854	0	0	526	1,103	314	1,155	122	40	35	106
CMPK1	2,011	2,602	3,510	2,407	4,502	4,358	5,323	5,768	10,807	5,036	10,257	10,693
CMPK2	506	895	129	50	863	960	780	2,303	532	470	670	519
CMSS1	61	0	181	293	5	88	13	161	649	980	528	616
CMTM1	35	26	3	9	15	21	13	19	5	8	11	7
CMTM2	64	77	18	0	470	117	631	208	0	3	2	4
CMTM3	1,816	2,494	747	1,508	7,638	5,616	5,679	6,992	3,458	3,997	2,985	2,988
CMTM4	269	279	50	0	370	264	326	558	19	34	67	45
CMTM5	11	5	9	0	52	67	81	39	0	9	0	5
CMTM6	10,178	13,637	3,749	3,331	28,605	28,354	18,973	27,069	6,328	9,421	6,950	4,602
CMTM7	2,557	4,388	2,089	1,952	13,457	12,609	10,742	10,595	6,183	2,923	3,847	4,610
CMTM8	50	23	88	140	129	25	177	55	984	669	212	202
CMTR1	756	754	824	856	1,074	1,179	1,270	1,587	1,910	1,654	2,289	2,319
CMTR2	1,098	544	850	705	721	2,161	1,981	1,843	2,396	2,902	2,773	987
CMYA5	61	267	110	183	0	0	0	2	51	0	53	2
CNBD1	5	0	10	0	0	0	0	0	0	0	0	0
CNBD2	15	11	12	11	16	17	5	1	27	2	7	7
CNBP	15,099	19,328	8,963	11,539	65,022	37,426	41,716	54,838	42,539	35,701	35,594	34,617
CNDP1	2	0	18	1	0	0	23	0	1	51	0	0
CNDP2	2,963	2,630	1,474	1,416	7,959	10,116	8,448	8,088	5,031	5,971	4,817	5,284
CNEP1R1	962	2,277	481	368	3,908	3,255	1,772	2,581	1,486	1,576	1,939	877
CNFN	20	0	3	7	41	10	75	12	2	2	1	0
CNGA1	19	0	141	3	0	1	1	0	7	12	16	6
CNGA2	0	0	0	0	0	0	0	0	0	0	0	0
CNGA3	0	2	65	0	0	0	0	28	0	1	0	0
CNGA4	3	0	17	1	0	11	0	12	0	0	0	13
CNGB1	20	3	39	1	0	0	1	0	16	0	0	13
CNGB3	8	0	26	1	0	0	0	0	0	0	0	1
CNIH1	1,669	511	544	624	3,817	3,363	3,192	4,240	1,408	2,203	2,099	1,285
CNIH2	0	0	0	0	1	1	0	1	2	1	1	0
CNIH3	58	1	0	0	0	16	40	0	8	0	50	0
CNIH4	1,299	1,654	465	796	12,238	5,977	2,402	2,431	1,322	1,389	1,551	1,166
CNKSR1	2	0	81	65	0	17	5	29	29	134	78	77
CNKSR2	6	10	173	315	1	0	0	0	390	480	429	402
CNKSR3	1	3	52	1	0	0	20	0	0	0	0	16
CNN1	3	16	0	0	1	1	0	21	0	0	0	0
CNN2	6,142	10,191	9,190	10,045	40,662	21,116	15,374	16,633	24,357	30,711	28,838	23,358
CNN3	26	2	19	133	0	2	1	0	290	258	289	282
CNNM1	45	3	10	3	3	0	60	1	82	115	39	22
CNNM2	173	115	273	91	62	118	223	176	176	387	171	282
CNNM3	466	346	599	496	272	245	1,317	389	1,228	666	1,565	2,054
CNNM4	488	830	58	401	419	266	768	262	262	262	433	581
CNOT1	4,675	8,227	5,661	6,448	3,892	7,067	5,330	7,292	11,103	11,945	10,654	8,927
CNOT10	573	1,104	634	1,830	1,077	1,491	1,823	2,036	1,477	3,095	2,544	2,352
CNOT11	1,036	1,012	1,941	2,636	2,220	2,964	3,227	3,138	3,291	3,664	4,084	3,247
CNOT2	2,483	4,618	1,413	2,039	4,548	6,207	4,760	4,890	5,709	5,246	4,854	4,560
CNOT3	68	63	36	67	104	108	174	107	84	85	114	160
CNOT4	972	235	1,306	914	937	1,545	1,285	1,556	1,429	1,791	1,716	1,698
CNOT6	1,320	1,340	1,216	777	1,331	1,369	1,136	1,936	1,712	1,732	1,360	1,575
CNOT6L	1,277	730	2,313	1,670	1,230	1,274	1,731	1,951	4,391	3,912	3,241	3,903
CNOT7	3,675	4,017	2,886	3,082	6,054	5,501	5,853	8,078	7,699	8,948	7,972	5,986
CNOT8	4,387	6,059	2,872	3,881	6,975	10,165	9,994	13,313	8,747	8,005	9,097	6,442
CNP	1,986	2,133	1,191	1,570	5,840	3,288	3,108	3,870	3,606	2,502	1,571	1,981
CNPPD1	1,745	2,273	913	1,495	7,984	4,950	4,884	5,237	3,424	4,032	4,554	4,074
CNPY1	0	0	78	0	0	2	0	12	0	0	3	0
CNPY2	1,241	766	789	1,268	3,976	3,668	2,750	2,749	2,748	3,383	2,545	2,433
CNPY3	3,921	5,351	1,083	1,652	17,635	13,288	18,901	20,686	2,439	2,781	3,700	3,741
CNPY4	135	0	257	295	264	547	366	441	669	1,003	852	985
CNR1	80	0	25	112	0	0	0	0	2	0	0	0
CNR2	0	90	22	26	0	0	1	50	0	0	20	29
CNRIP1	37	0	1	15	11	21	6	28	2	0	2	0
CNST	500	889	3,350	2,822	661	1,755	1,673	1,756	5,081	6,039	5,860	4,676
CNTD1	75	100	45	90	94	77	68	96	158	92	57	66
CNTD2	0	0	13	0	0	2	1	24	0	6	9	0
CNTF	24	61	66	71	16	72	41	45	6	41	27	2
CNTFR	2	0	0	0	0	0	0	0	0	0	0	0
CNTFR-AS1	0	0	0	0	0	0	15	0	0	0	0	0
CNTLN	665	651	125	25	728	774	883	1,060	15	38	1	23
CNTN1	71	0	85	44	0	5	6	1	3	0	0	0
CNTN2	23	0	0	1	0	0	11	0	12	0	0	0
CNTN3	5	11	48	4	0	0	13	0	0	0	8	0
CNTN4	19	22	94	54	1	1	3	0	6	0	2	5
CNTN4-AS1	12	2	0	0	0	0	13	0	0	0	0	0
CNTN4-AS2	0	0	0	0	0	0	0	0	0	0	0	0
CNTN5	53	12	89	7	1	3	0	0	18	9	2	2
CNTN6	16	12	17	10	0	0	3	1	5	0	1	2
CNTNAP1	7	1	48	27	0	8	8	14	44	27	37	60
CNTNAP2	94	1	132	64	3	10	81	2	13	0	25	12
CNTNAP3	7	10	16	3	0	0	4	0	0	0	1	1
CNTNAP3B	0	0	19	0	0	0	0	0	3	0	0	0
CNTNAP3P2	16	11	7	12	0	0	0	0	0	0	1	0
CNTNAP4	9	7	12	4	0	0	4	0	0	0	1	5
CNTNAP5	58	9	10	5	0	0	0	0	6	2	0	2
CNTRL	2,902	2,031	3,283	4,243	843	3,982	2,630	4,023	4,870	4,536	6,362	5,733
CNTROB	697	348	753	599	1,364	1,058	677	880	766	874	988	855
COA1	463	241	506	610	1,391	1,188	2,089	1,491	911	1,356	1,572	1,402
COA3	737	1,075	558	464	5,395	3,732	3,151	2,343	1,444	1,906	1,863	1,139
COA4	428	176	359	729	2,043	1,493	1,572	1,259	1,131	1,097	818	733
COA5	526	559	664	824	1,755	1,891	1,465	2,350	1,904	2,150	1,747	1,489
COA6	357	423	315	257	1,619	1,519	1,340	1,435	934	1,069	1,135	749
COA7	155	49	385	217	787	616	209	602	212	160	125	141
COASY	1,633	1,356	448	1,734	6,542	4,313	3,623	3,152	2,414	2,391	2,829	3,061
COBL	18	0	6	1	13	0	33	0	8	6	0	13
COBLL1	149	30	165	116	1	39	35	55	5	10	0	0
COCH	91	99	21	22	628	238	2,646	95	15	23	7	42
COG1	351	555	650	1,524	822	968	1,207	1,311	3,154	3,054	2,688	2,667
COG2	749	822	707	1,063	2,446	2,363	2,650	3,247	2,462	2,569	2,350	2,687
COG3	1,391	1,480	1,571	949	1,062	2,085	1,246	2,015	2,604	3,401	2,807	2,615
COG4	1,809	1,687	2,190	1,069	2,431	3,905	3,561	3,634	3,113	4,176	4,413	4,170
COG5	1,932	2,267	2,147	2,554	2,975	4,231	5,813	5,391	4,919	5,103	5,215	6,731
COG6	605	526	1,022	784	289	1,175	1,391	988	1,154	1,277	2,166	1,007
COG7	240	525	192	509	1,050	998	736	618	951	723	1,149	738
COG8	524	348	366	860	2,213	1,446	1,405	1,537	1,222	1,660	1,825	1,916
COIL	629	716	518	340	1,243	1,472	923	1,473	1,746	2,044	1,834	1,410
COL10A1	114	0	196	0	0	3	28	1	12	2	9	11
COL11A1	12	0	19	5	0	0	6	1	1	0	2	6
COL11A2	6	0	0	117	8	21	4	0	34	6	48	4
COL12A1	26	6	39	9	0	2	5	0	3	0	1	7
COL13A1	11	0	25	0	0	6	1	34	0	0	2	0
COL14A1	6	0	3	1	0	0	0	0	0	0	0	2
COL15A1	16	0	43	10	0	0	0	7	8	0	3	6
COL16A1	0	0	0	5	0	0	1	0	12	0	0	11
COL17A1	2	0	27	1	0	0	15	0	0	0	0	0
COL18A1	86	112	105	868	449	222	274	186	1,407	1,076	734	2,223
COL18A1-AS1	0	0	0	0	0	0	0	0	0	0	0	0
COL18A1-AS2	0	0	0	0	0	0	0	0	0	0	0	0
COL19A1	50	0	57	5	7	0	0	0	0	10	17	5
COL1A1	2	19	0	26	0	1	6	0	2	0	0	6
COL1A2	23	2	31	2	0	0	19	0	0	0	7	4
COL20A1	0	0	0	0	0	0	0	0	0	0	0	0
COL21A1	29	0	36	1	0	0	4	0	0	0	1	0
COL22A1	0	2	0	0	0	0	0	0	14	0	0	4
COL23A1	0	0	0	0	36	41	3	49	3	28	7	9
COL24A1	24	0	114	1	4	62	152	0	22	0	6	10
COL25A1	46	120	48	21	0	0	35	0	4	40	0	14
COL26A1	0	0	0	0	0	0	0	1	0	0	0	0
COL27A1	13	0	0	2	0	0	10	2	15	4	14	59
COL28A1	1	5	9	34	0	0	20	9	0	0	10	0
COL2A1	0	0	0	0	0	0	0	0	0	0	0	6
COL3A1	10	0	5	4	0	0	0	0	0	0	0	0
COL4A1	3	0	54	0	0	5	85	0	0	0	0	0
COL4A2	15	1	3	0	0	1	24	0	0	0	0	1
COL4A2-AS1	0	0	0	0	0	0	0	0	0	0	0	0
COL4A3	30	1	102	2	0	32	9	0	19	0	4	5
COL4A3BP	759	988	596	420	1,595	2,136	2,501	2,103	877	720	962	548
COL4A4	26	70	90	2	45	55	204	0	67	18	47	63
COL4A5	19	2	9	1	0	2	0	0	0	0	0	0
COL4A6	0	1	1	0	0	0	3	0	0	0	0	0
COL5A1	29	0	8	0	0	0	1	0	6	0	24	59
COL5A2	81	2	16	1	0	42	0	0	119	100	11	44
COL5A3	0	0	5	1	0	0	0	2	8	48	23	65
COL6A1	0	1	252	156	91	1	0	3	542	268	590	412
COL6A2	0	0	402	729	1	3	98	87	811	444	1,098	1,043
COL6A3	58	10	53	82	0	0	18	0	169	214	119	92
COL6A4P1	22	0	30	0	0	1	0	3	2	0	0	10
COL6A4P2	45	2	116	29	0	8	86	0	30	2	3	49
COL6A5	40	2	49	6	0	9	0	0	0	0	3	5
COL6A6	78	0	136	0	0	0	3	1	9	0	2	12
COL7A1	23	62	5	0	11	5	1	22	15	9	1	54
COL8A1	0	21	35	0	0	0	1	12	0	0	0	0
COL8A2	40	247	1	1	209	617	472	346	8	1	0	6
COL9A1	16	5	27	3	0	0	0	0	0	0	0	12
COL9A2	28	0	304	454	860	103	528	1,109	679	738	231	420
COL9A3	75	77	0	0	36	311	86	173	0	0	0	16
COLCA1	22	0	151	3	1	3	3	0	20	2	2	45
COLCA2	27	0	26	0	1	0	41	0	1	1	0	2
COLEC10	0	0	3	0	0	0	0	0	0	0	0	0
COLEC11	0	0	0	0	0	8	0	0	4	0	0	1
COLEC12	85	181	14	0	219	15	5	449	1	0	0	0
COLGALT1	2,810	3,469	676	978	10,459	9,703	6,603	6,504	1,984	1,891	2,046	1,973
COLGALT2	2	22	6	3	8	16	0	37	66	2	0	220
COLQ	145	107	230	149	135	328	175	95	240	362	931	557
COMMD1	787	574	252	1,213	4,410	2,969	2,171	2,681	1,355	1,657	1,296	1,426
COMMD10	1,744	1,157	531	970	4,807	3,694	3,856	4,413	1,778	1,757	1,814	1,505
COMMD2	1,381	1,506	447	692	3,426	2,528	1,841	2,928	2,597	2,235	1,909	1,743
COMMD3	1,161	626	676	891	3,771	4,166	4,404	4,572	1,550	1,987	2,200	1,789
COMMD3-BMI1	266	37	19	342	456	685	591	689	926	1,057	1,340	1,467
COMMD4	243	306	217	174	1,657	1,106	979	874	553	718	704	711
COMMD5	545	1,117	214	492	5,635	3,046	2,899	2,114	950	1,218	974	817
COMMD6	1,084	1,226	1,530	1,597	6,774	3,356	4,691	4,227	4,816	5,662	5,362	4,839
COMMD7	1,382	1,134	889	1,467	9,625	6,760	4,865	5,625	3,216	2,698	3,711	4,008
COMMD8	1,370	1,851	468	583	5,033	5,091	3,727	4,484	1,464	1,572	1,680	1,290
COMMD9	3,141	3,046	390	682	12,672	12,114	8,488	9,064	2,117	2,261	1,898	1,945
COMP	0	0	0	0	0	0	0	0	0	0	0	0
COMT	3,551	3,651	403	624	15,113	16,737	12,347	13,693	1,751	2,373	1,725	1,961
COMTD1	84	113	41	371	965	433	277	416	161	394	208	393
COPA	10,385	9,883	2,753	3,425	18,971	25,123	16,475	16,560	10,006	12,421	10,290	9,163
COPB1	4,677	3,755	2,036	2,536	6,979	11,326	7,873	8,236	6,392	8,582	7,842	5,587
COPB2	3,871	6,306	2,309	2,926	8,796	13,090	6,722	10,417	6,361	7,792	6,256	4,318
COPE	2,254	3,604	990	1,950	23,800	12,817	10,577	10,220	4,580	4,298	4,643	4,546
COPG1	2,475	3,233	778	1,459	10,854	7,870	6,005	5,276	5,256	5,777	4,723	4,371
COPG2	99	145	72	107	140	143	51	147	43	107	92	30
COPRS	228	77	49	101	847	741	779	1,271	228	167	221	183
COPS2	960	1,563	1,079	464	2,103	1,757	1,419	2,867	2,272	1,785	1,793	1,823
COPS3	1,714	1,267	1,311	1,358	6,392	4,483	4,965	5,272	4,079	3,738	3,731	2,730
COPS4	949	746	745	1,096	3,503	2,697	2,482	2,421	2,676	3,228	2,518	2,184
COPS5	1,605	2,324	934	1,347	4,696	6,789	5,482	5,472	2,935	3,892	4,194	3,307
COPS6	2,011	2,246	898	1,523	7,785	5,717	5,345	6,559	3,458	4,110	4,077	4,819
COPS7A	1,192	1,293	460	745	5,613	5,169	3,839	3,086	1,632	2,359	1,807	1,611
COPS7B	334	1,094	655	936	1,774	1,168	1,282	1,014	2,039	1,136	1,667	1,842
COPS8	953	1,271	1,565	1,533	4,005	3,046	2,313	2,472	3,249	2,963	2,564	2,551
COPZ1	2,631	3,084	1,059	1,821	10,789	9,083	7,631	9,152	5,013	6,080	5,222	5,397
COPZ2	11	3	0	0	246	81	162	167	23	49	19	46
COQ10A	52	38	336	558	13	104	125	219	803	838	955	953
COQ10B	901	1,090	514	542	2,868	2,967	2,585	3,071	2,724	2,719	2,398	2,235
COQ2	1,103	480	252	22	2,246	2,117	2,104	2,092	119	145	249	361
COQ3	61	11	163	187	159	160	189	171	354	478	400	229
COQ4	193	272	323	963	851	857	942	1,001	1,152	1,394	1,117	1,227
COQ5	420	219	123	471	1,735	2,125	1,517	2,083	1,037	1,583	1,350	950
COQ6	276	5	652	799	723	1,000	1,218	987	1,287	1,398	1,276	1,357
COQ7	206	319	213	7	665	601	220	405	280	496	336	302
COQ9	585	745	466	915	1,424	2,056	1,967	2,441	1,884	1,917	1,270	1,374
CORIN	53	31	40	35	0	30	53	19	1	0	13	10
CORO1A	13,958	13,887	6,806	15,087	88,773	59,144	45,862	45,014	29,593	41,138	34,246	33,007
CORO1B	1,145	2,549	155	333	4,634	4,312	4,512	5,116	592	534	631	755
CORO1C	10,141	8,428	306	357	19,585	23,964	19,146	22,226	556	491	815	730
CORO2A	455	598	767	1,145	2,114	1,153	606	358	1,323	1,360	961	1,337
CORO2B	1	0	0	0	0	0	1	7	3	0	0	8
CORO6	39	2	49	14	34	19	31	3	36	63	51	21
CORO7	4,083	3,748	3,354	5,811	17,170	12,302	8,891	8,832	7,650	9,423	8,589	10,003
CORO7-PAM16	266	0	0	0	466	59	11	206	63	69	94	48
CORT	0	0	27	0	0	6	4	7	5	18	2	2
COTL1	29,767	38,215	3,701	7,045	108,293	103,241	86,961	92,510	18,884	9,547	14,561	14,905
COX10	190	757	496	780	1,242	1,110	1,284	1,298	1,983	2,369	1,610	1,566
COX10-AS1	100	136	743	955	82	212	225	311	984	895	843	957
COX11	315	530	579	860	1,094	844	1,459	1,432	2,623	1,876	2,401	2,577
COX14	564	572	678	544	6,297	3,407	3,127	3,588	2,672	2,579	2,411	2,640
COX15	551	2,196	895	720	1,950	2,876	2,547	2,394	1,423	2,676	2,461	1,918
COX16	567	719	446	526	3,693	2,357	2,278	2,546	1,506	1,670	1,631	1,511
COX17	544	741	190	251	4,741	2,367	1,818	1,473	753	916	898	779
COX18	227	414	230	305	773	477	513	436	594	431	431	406
COX19	1,629	1,580	753	1,431	2,000	1,684	2,900	2,476	2,794	2,505	2,572	2,647
COX20	65	90	143	90	436	376	91	193	198	214	194	188
COX4I1	5,056	5,985	2,784	4,019	36,876	25,167	17,869	20,127	12,188	12,595	11,513	11,785
COX4I2	0	0	3	0	0	0	0	0	0	0	0	0
COX5A	1,566	1,959	928	1,054	11,779	9,731	6,956	6,978	3,102	3,425	3,315	3,013
COX5B	2,288	2,324	1,269	1,639	18,973	12,112	9,686	9,372	4,330	4,693	4,428	4,207
COX6A1	3,791	3,788	1,753	2,639	31,994	19,042	13,547	14,307	8,154	9,171	8,687	8,319
COX6A2	0	0	0	0	0	0	0	0	0	0	0	0
COX6B1	1,890	1,998	810	2,010	15,093	9,564	6,999	7,682	3,815	4,119	4,141	4,427
COX6B2	1	3	5	10	45	6	0	2	8	0	3	2
COX6C	2,081	1,790	1,775	2,301	15,858	9,077	7,492	6,445	8,200	8,347	7,258	7,172
COX7A1	0	0	0	0	0	7	145	2	0	0	21	0
COX7A2	1,450	1,017	1,101	1,197	14,089	8,234	6,229	6,318	4,495	5,260	5,097	4,695
COX7A2L	1,263	1,685	690	878	9,824	4,958	3,422	4,466	3,543	3,192	3,023	2,552
COX7B	1,387	1,059	694	831	11,365	7,522	4,834	4,788	2,709	2,907	2,900	2,482
COX7B2	0	0	3	0	0	0	0	0	0	0	0	0
COX7C	2,123	1,285	1,450	1,791	14,673	7,877	6,964	7,072	6,218	6,789	6,931	6,941
COX8A	1,505	615	532	935	13,420	6,969	4,002	4,071	1,775	1,877	1,858	1,743
